Start_Time,End_Time,Max_Index,Min_Index,Magnitude,Direction
2018-10-20 12:00:00,2018-10-20 14:00:00,2018-10-20 13:50:00,2018-10-20 12:30:00,163.8184967,Down
2018-10-20 12:10:00,2018-10-20 14:10:00,2018-10-20 14:10:00,2018-10-20 12:30:00,205.3166962,Up
2018-10-20 12:20:00,2018-10-20 14:20:00,2018-10-20 14:10:00,2018-10-20 12:30:00,205.3166962,Down
2018-10-20 12:30:00,2018-10-20 14:30:00,2018-10-20 14:10:00,2018-10-20 12:30:00,205.3166962,Down
2018-10-20 12:40:00,2018-10-20 14:40:00,2018-10-20 14:10:00,2018-10-20 12:40:00,205.3166962,Down
2018-10-20 12:50:00,2018-10-20 14:50:00,2018-10-20 14:50:00,2018-10-20 12:50:00,232.2127991,Up
2018-10-20 13:00:00,2018-10-20 15:00:00,2018-10-20 14:50:00,2018-10-20 13:00:00,232.2127991,Down
2018-10-20 13:10:00,2018-10-20 15:10:00,2018-10-20 14:50:00,2018-10-20 13:10:00,232.2127991,Down
2018-10-20 13:20:00,2018-10-20 15:20:00,2018-10-20 14:50:00,2018-10-20 13:20:00,232.2127991,Down
2018-10-20 13:30:00,2018-10-20 15:30:00,2018-10-20 14:50:00,2018-10-20 13:30:00,232.2127991,Down
2018-10-20 13:40:00,2018-10-20 15:40:00,2018-10-20 14:50:00,2018-10-20 13:40:00,211.85887912,Down
2018-10-20 13:50:00,2018-10-20 15:50:00,2018-10-20 14:50:00,2018-10-20 15:20:00,149.7663956,Down
2018-10-20 14:00:00,2018-10-20 16:00:00,2018-10-20 14:50:00,2018-10-20 15:20:00,149.7663956,Down
2018-10-20 14:10:00,2018-10-20 16:10:00,2018-10-20 16:10:00,2018-10-20 15:20:00,189.6832962,Up
2018-10-20 14:20:00,2018-10-20 16:20:00,2018-10-20 16:20:00,2018-10-20 15:20:00,354.0593033,Up
2018-10-20 14:30:00,2018-10-20 16:30:00,2018-10-20 16:20:00,2018-10-20 15:20:00,354.0593033,Down
2018-10-20 14:40:00,2018-10-20 16:40:00,2018-10-20 16:20:00,2018-10-20 15:20:00,354.0593033,Down
2018-10-20 14:50:00,2018-10-20 16:50:00,2018-10-20 16:20:00,2018-10-20 15:20:00,354.0593033,Down
2018-10-20 15:00:00,2018-10-20 17:00:00,2018-10-20 17:00:00,2018-10-20 15:20:00,515.7544022000001,Up
2018-10-20 15:10:00,2018-10-20 17:10:00,2018-10-20 17:00:00,2018-10-20 15:20:00,515.7544022000001,Down
2018-10-20 15:20:00,2018-10-20 17:20:00,2018-10-20 17:00:00,2018-10-20 15:20:00,515.7544022000001,Down
2018-10-20 15:30:00,2018-10-20 17:30:00,2018-10-20 17:30:00,2018-10-20 16:00:00,567.0407181,Up
2018-10-20 15:40:00,2018-10-20 17:40:00,2018-10-20 17:40:00,2018-10-20 16:00:00,863.8972855,Up
2018-10-20 15:50:00,2018-10-20 17:50:00,2018-10-20 17:50:00,2018-10-20 16:00:00,911.6876905999999,Up
2018-10-20 16:00:00,2018-10-20 18:00:00,2018-10-20 17:50:00,2018-10-20 16:00:00,911.6876905999999,Down
2018-10-20 16:10:00,2018-10-20 18:10:00,2018-10-20 17:50:00,2018-10-20 16:10:00,752.1882932999999,Down
2018-10-20 16:20:00,2018-10-20 18:20:00,2018-10-20 18:20:00,2018-10-20 16:30:00,736.7945251000001,Up
2018-10-20 16:30:00,2018-10-20 18:30:00,2018-10-20 18:30:00,2018-10-20 16:30:00,995.5164491,Up
2018-10-20 16:40:00,2018-10-20 18:40:00,2018-10-20 18:30:00,2018-10-20 17:10:00,969.1802674,Down
2018-10-20 16:50:00,2018-10-20 18:50:00,2018-10-20 18:30:00,2018-10-20 17:10:00,969.1802674,Down
2018-10-20 17:00:00,2018-10-20 19:00:00,2018-10-20 18:30:00,2018-10-20 17:10:00,969.1802674,Down
2018-10-20 17:10:00,2018-10-20 19:10:00,2018-10-20 18:30:00,2018-10-20 17:10:00,969.1802674,Down
2018-10-20 17:20:00,2018-10-20 19:20:00,2018-10-20 19:20:00,2018-10-20 17:20:00,1104.0464475,Up
2018-10-20 17:30:00,2018-10-20 19:30:00,2018-10-20 19:20:00,2018-10-20 17:30:00,871.2739255,Down
2018-10-20 17:40:00,2018-10-20 19:40:00,2018-10-20 19:20:00,2018-10-20 18:00:00,583.0340573000001,Down
2018-10-20 17:50:00,2018-10-20 19:50:00,2018-10-20 19:20:00,2018-10-20 18:00:00,583.0340573000001,Down
2018-10-20 18:00:00,2018-10-20 20:00:00,2018-10-20 19:20:00,2018-10-20 18:00:00,583.0340573000001,Down
2018-10-20 18:10:00,2018-10-20 20:10:00,2018-10-20 19:20:00,2018-10-20 18:10:00,551.8466184000001,Down
2018-10-20 18:20:00,2018-10-20 20:20:00,2018-10-20 19:20:00,2018-10-20 19:00:00,546.9859620000001,Down
2018-10-20 18:30:00,2018-10-20 20:30:00,2018-10-20 19:20:00,2018-10-20 20:30:00,980.6767575000001,Down
2018-10-20 18:40:00,2018-10-20 20:40:00,2018-10-20 19:20:00,2018-10-20 20:30:00,980.6767575000001,Down
2018-10-20 18:50:00,2018-10-20 20:50:00,2018-10-20 19:20:00,2018-10-20 20:30:00,980.6767575000001,Down
2018-10-20 19:00:00,2018-10-20 21:00:00,2018-10-20 19:20:00,2018-10-20 20:30:00,980.6767575000001,Down
2018-10-20 19:10:00,2018-10-20 21:10:00,2018-10-20 19:20:00,2018-10-20 20:30:00,980.6767575000001,Down
2018-10-20 19:20:00,2018-10-20 21:20:00,2018-10-20 19:20:00,2018-10-20 20:30:00,980.6767575000001,Down
2018-10-20 19:30:00,2018-10-20 21:30:00,2018-10-20 21:10:00,2018-10-20 21:30:00,1049.5253292000002,Down
2018-10-20 19:40:00,2018-10-20 21:40:00,2018-10-20 21:10:00,2018-10-20 21:30:00,1049.5253292000002,Down
2018-10-20 19:50:00,2018-10-20 21:50:00,2018-10-20 21:10:00,2018-10-20 21:50:00,1285.9855343000002,Down
2018-10-20 20:00:00,2018-10-20 22:00:00,2018-10-20 21:10:00,2018-10-20 21:50:00,1285.9855343000002,Down
2018-10-20 20:10:00,2018-10-20 22:10:00,2018-10-20 21:10:00,2018-10-20 21:50:00,1285.9855343000002,Down
2018-10-20 20:20:00,2018-10-20 22:20:00,2018-10-20 21:10:00,2018-10-20 21:50:00,1285.9855343000002,Down
2018-10-20 20:30:00,2018-10-20 22:30:00,2018-10-20 21:10:00,2018-10-20 21:50:00,1285.9855343000002,Down
2018-10-20 20:40:00,2018-10-20 22:40:00,2018-10-20 21:10:00,2018-10-20 21:50:00,1285.9855343000002,Down
2018-10-20 20:50:00,2018-10-20 22:50:00,2018-10-20 21:10:00,2018-10-20 21:50:00,1285.9855343000002,Down
2018-10-20 21:00:00,2018-10-20 23:00:00,2018-10-20 21:10:00,2018-10-20 21:50:00,1285.9855343000002,Down
2018-10-20 21:10:00,2018-10-20 23:10:00,2018-10-20 21:10:00,2018-10-20 21:50:00,1285.9855343000002,Down
2018-10-20 21:20:00,2018-10-20 23:20:00,2018-10-20 22:40:00,2018-10-20 21:50:00,1125.0675663,Down
2018-10-20 21:30:00,2018-10-20 23:30:00,2018-10-20 22:40:00,2018-10-20 21:50:00,1125.0675663,Down
